"Dis.No" "Year" "Seq" "Glide" "Disaster.Group" "Disaster.Subgroup" "Disaster.Type" "Disaster.Subtype" "Disaster.Subsubtype" "Event.Name" "Country" "ISO" "Region" "Continent" "Location" "Origin" "Associated.Dis" "Associated.Dis2" "OFDA.Response" "Appeal" "Declaration" "AID.Contribution...000.US.." "Dis.Mag.Value" "Dis.Mag.Scale" "Latitude" "Longitude" "Local.Time" "River.Basin" "Start.Year" "Start.Month" "Start.Day" "End.Year" "End.Month" "End.Day" "Total.Deaths" "No.Injured" "No.Affected" "No.Homeless" "Total.Affected" "Reconstruction.Costs...000.US.." "Reconstruction.Costs..Adjusted...000.US.." "Insured.Damages...000.US.." "Insured.Damages..Adjusted...000.US.." "Total.Damages...000.US.." "Total.Damages..Adjusted...000.US.." "CPI" "Adm.Level" "Admin1.Code" "Admin2.Code" "Geo.Locations"
"1985-0132-COL" 1985 132 "" "Natural" "Geophysical" "Volcanic activity" "Ash fall" "" "Nevado Del Ruiz" "Colombia" "COL" "South America" "Americas" "Armero, Chinchina, Casablanca, Herveo, Libano, Murillo, Villahermosa" "" "Slide (land, mud, snow, rock)" "" "" "No" "No" NA NA "" "" "" "21:09" "" 1985 11 13 1985 11 13 21800 5000 7700 NA 12700 NA NA NA NA 1000000 2519086 39.69693418 "" "" "" ""
"1985-9400-AGO" 1985 9400 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Angola" "AGO" "Middle Africa" "Africa" "" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1985 NA NA 1985 NA NA NA NA 500000 NA 500000 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0024-ARG" 1985 24 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Argentina" "ARG" "South America" "Americas" "Mendoza province" "" "" "" "Yes" "" "" NA 7 "Richter" "-33.053" "-68.467" "00:06" "" 1985 1 26 1985 1 26 6 238 45000 NA 45238 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0004-AUS" 1985 4 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Australia" "AUS" "Australia and New Zealand" "Oceania" "Southeastern" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 1 NA 1985 1 NA 5 100 NA NA 100 NA NA NA NA 15000 37786 39.69693418 "" "" "" ""
"1985-0331-AUS" 1985 331 "" "Natural" "Climatological" "Wildfire" "Land fire (Brush, Bush, Pasture)" "" "" "Australia" "AUS" "Australia and New Zealand" "Oceania" "New South Wales" "" "" "" "" "" "" NA NA "Km2" "" "" "" "" 1985 2 NA 1985 2 NA 6 NA NA NA NA NA NA NA NA 18169 45769 39.69693418 "" "" "" ""
"1985-9011-BRA" 1985 9011 "" "Natural" "Climatological" "Drought" "Drought" "" "" "Brazil" "BRA" "South America" "Americas" "Rio Grande Do Sul" "" "" "" "" "No" "No" NA NA "Km2" "" "" "" "" 1985 11 NA 1985 NA NA NA NA NA NA NA NA NA NA NA 651000 1639925 39.69693418 "" "" "" ""
"1985-0077-CAN" 1985 77 "" "Natural" "Climatological" "Wildfire" "Forest fire" "" "" "Canada" "CAN" "Northern America" "Americas" "Northeast of Vancouver" "" "" "" "" "" "" NA 2023 "Km2" "" "" "" "" 1985 7 NA 1985 7 NA NA NA NA NA NA NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0041-CHL" 1985 41 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "Chile" "CHL" "South America" "Americas" "Valparaiso, Santiago, Talca, Copiapo, La Serena, Rancegua, Cauquenes, Concepcion" "" "" "" "Yes" "" "" NA 8 "Richter" "-33.135" "-71.871" "19:47" "" 1985 3 3 1985 3 3 180 2483 979792 500000 1482275 NA NA 90000 226718 1500000 3778629 39.69693418 "" "" "" ""
"1985-0055-CHN" 1985 55 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Yunnan province" "" "" "" "" "" "" NA 6 "Richter" "25.926" "102.871" "13:52" "" 1985 4 18 1985 4 18 22 300 NA NA 300 NA NA NA NA NA NA 39.69693418 "" "" "" ""
"1985-0101-CHN" 1985 101 "" "Natural" "Geophysical" "Earthquake" "Ground movement" "" "" "China" "CHN" "Eastern Asia" "Asia" "Wuqia-Shufu area" "" "" "" "" "" "" NA 7 "Richter" "39.431" "75.224" "20:41" "" 1985 8 23 1985 8 23 67 100 NA 16000 16100 NA NA NA NA NA NA 39.69693418 "" "" "" ""
